mal_id,title,type,score,genres,num_genres
52991,Sousou no Frieren,TV,9.3,"['Adventure', 'Drama', 'Fantasy']",3
5114,Fullmetal Alchemist: Brotherhood,TV,9.1,"['Action', 'Adventure', 'Drama', 'Fantasy']",4
9253,Steins;Gate,TV,9.07,"['Drama', 'Sci-Fi', 'Suspense']",3
38524,Shingeki no Kyojin Season 3 Part 2,TV,9.05,"['Action', 'Drama', 'Suspense']",3
28977,Gintama°,TV,9.05,"['Action', 'Comedy', 'Sci-Fi']",3
60022,One Piece Fan Letter,TV Special,9.04,"['Action', 'Adventure', 'Fantasy']",3
39486,Gintama: The Final,Movie,9.04,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",4
11061,Hunter x Hunter (2011),TV,9.03,"['Action', 'Adventure', 'Fantasy']",3
9969,Gintama',TV,9.02,"['Action', 'Comedy', 'Sci-Fi']",3
15417,Gintama': Enchousen,TV,9.02,"['Action', 'Comedy', 'Sci-Fi']",3
820,Ginga Eiyuu Densetsu,OVA,9.01,"['Drama', 'Sci-Fi']",2
41467,Bleach: Sennen Kessen-hen,TV,9.0,"['Action', 'Adventure', 'Supernatural']",3
34096,Gintama.,TV,8.98,"['Action', 'Comedy', 'Sci-Fi']",3
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,8.98,"['Comedy', 'Romance']",2
42938,Fruits Basket: The Final,TV,8.95,"['Drama', 'Romance', 'Supernatural']",3
4181,Clannad: After Story,TV,8.93,"['Drama', 'Romance']",2
918,Gintama,TV,8.93,"['Action', 'Comedy', 'Sci-Fi']",3
28851,Koe no Katachi,Movie,8.93,"['Award Winning', 'Drama']",2
2904,Code Geass: Hangyaku no Lelouch R2,TV,8.91,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",4
35180,3-gatsu no Lion 2nd Season,TV,8.9,['Drama'],1
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,8.9,"['Action', 'Comedy', 'Sci-Fi']",3
19,Monster,TV,8.89,"['Drama', 'Mystery', 'Suspense']",3
37491,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,TV,8.88,"['Action', 'Comedy', 'Sci-Fi']",3
58514,Kusuriya no Hitorigoto 2nd Season,TV,8.87,"['Drama', 'Mystery']",2
54492,Kusuriya no Hitorigoto,TV,8.87,"['Drama', 'Mystery']",2
